Date,Open,High,Low,Close,Adj Close,Volume,daily_return
1/2/1970,92.059998,93.540001,91.790001,93,93,8050000,1.021075408
1/5/1970,93,94.25,92.529999,93.459999,93.459999,11490000,0.494622581
1/6/1970,93.459999,93.809998,92.129997,92.82,92.82,11460000,-0.684783872
1/7/1970,92.82,93.379997,91.93,92.629997,92.629997,10010000,-0.204700496
1/8/1970,92.629997,93.470001,91.989998,92.68,92.68,10670000,0.053981433
1/9/1970,92.68,93.25,91.82,92.400002,92.400002,9380000,-0.302112646
1/12/1970,92.400002,92.669998,91.199997,91.699997,91.699997,8900000,-0.757581152
1/13/1970,91.699997,92.610001,90.989998,91.919998,91.919998,9870000,0.239913857
1/14/1970,91.919998,92.400002,90.879997,91.650002,91.650002,10380000,-0.293729336
1/15/1970,91.650002,92.349998,90.730003,91.68,91.68,11120000,0.032731041
1/16/1970,91.68,92.489998,90.360001,90.919998,90.919998,11940000,-0.828972513
1/19/1970,90.720001,90.720001,89.139999,89.650002,89.650002,9500000,-1.179452147
1/20/1970,89.650002,90.449997,88.639999,89.830002,89.830002,11050000,0.20078081
1/21/1970,89.830002,90.610001,89.199997,89.949997,89.949997,9880000,0.133580093
1/22/1970,89.949997,90.800003,89.199997,90.040001,90.040001,11050000,0.100060037
1/23/1970,90.040001,90.449997,88.739998,89.370003,89.370003,11000000,-0.744111498
1/26/1970,89.230003,89.230003,87.489998,88.169998,88.169998,10670000,-1.187946839
1/27/1970,88.169998,88.540001,86.919998,87.620003,87.620003,9630000,-0.623789285
1/28/1970,87.620003,88.239998,86.440002,86.790001,86.790001,10510000,-0.947274562
1/29/1970,86.790001,87.089996,85.019997,85.690002,85.690002,12210000,-1.267425956
1/30/1970,85.690002,86.330002,84.419998,85.019997,85.019997,12320000,-0.781894018
2/2/1970,85.019997,86.760002,84.760002,85.75,85.75,13440000,0.85862506
2/3/1970,85.75,87.540001,84.639999,86.769997,86.769997,16050000,1.189500875
2/4/1970,86.769997,87.660004,85.589996,86.239998,86.239998,11040000,-0.610809056
2/5/1970,86.239998,86.620003,84.949997,85.900002,85.900002,9430000,-0.394243979
2/6/1970,85.900002,86.879997,85.230003,86.330002,86.330002,10150000,0.500582061
2/9/1970,86.330002,87.849998,86.160004,87.010002,87.010002,10830000,0.787675182
2/10/1970,87.010002,87.400002,85.580002,86.099998,86.099998,10110000,-1.045861371
